Tweets,Likes,Adj Close,Close,High,Low,Open,Volume,Prices,Comp,Negative,Neutral,Positive
"@_aminasy @degeurbopp Age is a number 
Diokh ma thieur par rapport ak lenene way",0,369.1742858886719,372.9700012207031,374.3299865722656,369.04998779296875,370.0,2068300,0,0.0772,0.0,0.902,0.098
@ameya_ma ヤッホー！白馬ブルーイングヽ(^o^)丿,1,371.2430419921875,375.05999755859375,377.07000732421875,368.8399963378906,371.510009765625,2309100,1,0.0,0.0,1.0,0.0
@amy_gomez10659 @TheGoonyBin Done and retweeted ma’am 👊🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸👊,0,366.5809631347656,370.3500061035156,375.7900085449219,370.1400146484375,373.1700134277344,2193600,0,0.0,0.0,1.0,0.0
"@artikk365 @matthewcageish Ma non era da denuncia mai nella vita, sono foto pubbliche, ma di che parliamo? Ahahah",2,366.6502685546875,370.4200134277344,374.57000732421875,369.25,373.29998779296875,2287600,2,0.0,0.0,1.0,0.0
"@becca22cr7 @GioSer_3313 Ma @GioSer_3313 hai ancora il coraggio di sparlare e difendere questa società e squadra ? Aspetta almeno la nuova versione di football manager , magari c’è qualche aggiornamento che ti torna utile per apprendere il gioco del calcio",0,363.0968017578125,366.8299865722656,370.25,362.9200134277344,369.6400146484375,2270700,0,0.0,0.0,1.0,0.0
@billy7890q Yes ma'am,0,367.05609130859375,370.8299865722656,371.1400146484375,367.07000732421875,368.55999755859375,2286400,0,0.4019,0.0,0.426,0.574
"@borghi_claudio Fatto .Non ho inviato mail, ma è stato importante partecipare  in segno di apprezzamento fiducia e stima per il vostro lavoro.",6,366.1949462890625,369.9599914550781,373.4100036621094,367.7300109863281,369.5799865722656,1841400,6,0.0,0.0,1.0,0.0
@coingecko Mot ngay ra 100 nv a lam tien the ma mik lam mjon qua lam som la ngon r khong,0,365.8782043457031,369.6400146484375,369.79998779296875,365.010009765625,366.2799987792969,2203300,0,0.0,0.0,1.0,0.0
"@drofin69 Cách đáp trả hay nhất đó chính là tiếp tục làm tốt những gì mà tụi nó đang ganh tỵ ở a 🤣 thói đời giàu thì nó ghét, đói thì nó khinh, thông minh thì nó tìm cách tiêu diệt 🥹🥹",2,363.8094482421875,367.54998779296875,373.0799865722656,364.8999938964844,364.8999938964844,2792700,2,0.0,0.0,1.0,0.0
@gesudellalazio Ma pe fa che?,2,357.4548034667969,361.1300048828125,366.70001220703125,359.79998779296875,364.05999755859375,2718900,2,0.0,0.0,1.0,0.0
"@hi_ma_rin_rin ひまりちゃん🌻おはよー💕

朝ごはんはもう食べたけど、ひまりちゃんを
おかわりするで、いいですか🤭",1,352.3373718261719,355.9599914550781,361.7699890136719,355.19000244140625,356.760009765625,2730900,1,0.0,0.0,1.0,0.0
@hotfirespicy Every single day ma,4,351.3575134277344,354.9700012207031,357.739990234375,353.2099914550781,355.3599853515625,2109300,4,0.0,0.0,1.0,0.0
"@iddioodo @Anna302478978 Sarai ritardato? Ma certamente. Cercare su gugol è una cosa semplice, ma non per i triplodosati ingoiazucchine they/them. https://t.co/wbCD2xJTMu",0,351.9117736816406,355.5299987792969,357.739990234375,351.6600036621094,357.739990234375,1975500,0,0.0,0.0,1.0,0.0
@javi_khoso Probably an uncredited studio artist unless it's the art Director Dino Ma.,0,349.5262756347656,353.1199951171875,354.0,349.5899963378906,350.82000732421875,2016100,0,-0.25,0.143,0.857,0.0
@kaynbabygirl Si battibecca sempre ma istg prima in linea per Toria protection squad,2,351.8623352050781,355.4800109863281,358.0299987792969,354.82000732421875,355.6400146484375,2200800,2,0.0,0.0,1.0,0.0
@lagio976 @PacettaVa @GiuntaDenise @lauramilla2021 Ma quello di Mert è davvero indecente... (canticchiando r cambiando le parole).,3,351.67425537109375,355.2900085449219,357.79998779296875,353.239990234375,354.80999755859375,2732900,3,0.0,0.0,1.0,0.0
@loovesosa_ Merciiii ma bombe ❤️ (c’est quand on va au vel😡),0,349.9024353027344,353.5,355.30999755859375,349.3900146484375,354.0,1968100,0,0.0,0.0,1.0,0.0
@lynna_nich @xslhi @hsan730 @merein15 @6i6iQ @AlkwytAyh63 @_i1ic @swdmd42233 @qwer8790 @arimhamd @ma_ma711 @swadeahdhj @luizcosta76 @MYK_63 @Hekaya_MZ @2w2030 @mits_i @kn_jui @florchicana @Aly9a ⁦(⁠◠⁠‿⁠・⁠)⁠—⁠☆⁩,3,351.9513854980469,355.57000732421875,356.6199951171875,351.69000244140625,353.6300048828125,2526000,3,0.0,0.0,1.0,0.0
"@ma_3679 まよちゃんもあかんかったんやなー😭
次のチャンスで！！",0,357.8210754394531,361.5,361.69000244140625,357.0899963378906,358.1199951171875,2174900,0,0.0,0.0,1.0,0.0
@ma_franks universities are not promoting free. Speech universities are indoctrinating children universities have professors that will not entertain an opposing view from a student.,0,363.1957092285156,366.92999267578125,368.5299987792969,361.260009765625,361.82000732421875,2789400,0,-0.7561,0.308,0.692,0.0
@ma_kunn_oann おはようございます🌞✨,1,356.2768859863281,359.94000244140625,369.1499938964844,359.54998779296875,367.1700134277344,1660800,1,0.0,0.0,1.0,0.0
@ma_kunn_oann スティックシュガーです🤣時々床に落とされてて、ん？とは思っていたんですけど、こんなに触られていたとは〜😂,1,355.37615966796875,359.0299987792969,361.70001220703125,357.2799987792969,358.6099853515625,1634400,1,0.0,0.0,1.0,0.0
"@ma_kunn_oann 気まぐれだからこそ可愛いですよね♡
おはようございます(*^^*)",2,350.8329162597656,354.44000244140625,364.0199890136719,353.9100036621094,359.25,2414700,2,0.0,0.0,1.0,0.0
@ma_pi_ SSRっていう色違いの手抜きがあかんのかね(´・ω・`),0,343.5774841308594,347.1099853515625,353.04998779296875,345.2300109863281,352.4100036621094,3176400,0,0.0,0.0,1.0,0.0
@ma_ra992 @alkazraj امين ولك بالمثل يارب انا الحمدلله عتدي لغه وناوي ادخل دورات زياده تزيد من الفرص.,0,341.2018737792969,344.7099914550781,349.8599853515625,340.2099914550781,343.6300048828125,3308200,0,0.0,0.0,1.0,0.0
"@ma_rin8047 @miyahara1x おはよーございます☕
今日もまんまる笑顔いっぱい
よろしくお願い致します💐",1,349.2294006347656,352.82000732421875,356.1099853515625,348.55999755859375,351.0,3413300,1,0.0,0.0,1.0,0.0
@ma_tsu0131 がんばれ！,1,344.5375671386719,348.0799865722656,348.3999938964844,343.6400146484375,346.04998779296875,3082600,1,0.0,0.0,1.0,0.0
"@ma_yu5_v おはよー！！
道路ツルツル∑(￣Д￣;)やーばい！

気をつけてね❤",1,344.4584045410156,348.0,348.69000244140625,340.2799987792969,346.6199951171875,3768100,1,0.0,0.0,1.0,0.0
"@ma_yu_63 年齢私の方が少し上だけどほぼ一緒💦
信じられない😭
美少年とシンドラやってたの見てたのに…
息止まりそうになった😭
年齢重ねる度にキレイだな〜
私も頑張ろとか思ってたのに🥹
お風呂での事故多いのは聞いてたけど…
辛い😭😭😭",1,346.10150146484375,349.6600036621094,351.94000244140625,346.8599853515625,350.25,8426800,1,0.0,0.0,1.0,0.0
"@manami_ma_na_mi おはようございます、
真奈美さん。
ありがとうございます、
写真楽しみです😊",0,345.7650146484375,349.32000732421875,353.8399963378906,347.3399963378906,348.0,3864200,0,0.0,0.0,1.0,0.0
"@massiTsunami Un allenatore può dire che l'arbitro ha sbagliato secondo lui, ma non può dire così apertamente che c'è un ""complotto"" o cose così. Si dovrebbe aprire un procedimento disciplinare.",1,350.9615478515625,354.57000732421875,356.20001220703125,350.8299865722656,354.3699951171875,3766800,1,-0.5574,0.174,0.756,0.07
"@mat_augmente Le dernier tier n'est pas nécessaire, message patriarcal peu subtil (à l'image du patron) et le son giga fort (mais bon ça c ma faute), mais sinon c bien ué",0,347.4575500488281,351.0299987792969,360.0,351.0299987792969,354.6099853515625,2596400,0,0.0,0.0,1.0,0.0
@misteriouspavao Globo:  Esse salto satisfaz o critério técnico de tirar os 2 pés do chão e saltar. Não entendo a má vontade dos jurados que estão dando nota baixa. Não faz sentido. Os jurados não gostam do atleta.,0,350.76361083984375,354.3699951171875,359.8599853515625,351.8399963378906,352.4100036621094,2598100,0,0.0,0.0,1.0,0.0
"@miya___ma おはみやです(о´∀ゞ)💚

心のなかではやっちゃうのね……✨　可愛い😆
今日もゆるふぁいで生きますか💪🫛🎧️",0,348.0514831542969,351.6300048828125,352.4200134277344,346.30999755859375,350.45001220703125,2971500,0,0.0,0.0,1.0,0.0
"@mrzcx2112 đã từng bị chia tài khoản nhưng nhờ theo những thông tin nhận định của ad mà đã có lãi, ko tốn một đồng fee group vip nào nên là lùa gà cc",1,351.01104736328125,354.6199951171875,357.8900146484375,354.2799987792969,355.57000732421875,2420300,1,0.5106,0.0,0.909,0.091
@nocas4you Começo a achar que houve de facto má interpretação!✅,1,350.7240295410156,354.3299865722656,355.8999938964844,352.79998779296875,355.55999755859375,1695900,1,0.0,0.0,1.0,0.0
@omgshakethatass @ZeroAgree Yes ma’am ^^,1,355.87109375,359.5299987792969,360.0299987792969,355.82000732421875,357.3800048828125,2327000,1,0.4019,0.0,0.597,0.403
"@orw7 @prabowo @gibran_tweet Buakakakkk
PS angkat doi jd tim ???
Pantess 🤣🤣🤣
Minta d ganti ma lo ya Fir ???
🤣🤣🤣 https://t.co/Ugm4UBbnrG",0,355.6038818359375,359.260009765625,362.5899963378906,358.239990234375,360.95001220703125,2480500,0,0.0,0.0,1.0,0.0
@rbellandi69 Ma avresti 21 scudetti e il Milan 18.,0,359.71160888671875,363.4100036621094,363.6499938964844,360.3800048828125,361.1300048828125,3376600,0,0.0,0.0,1.0,0.0
@sakuragi_MA 😆👍️✨,1,362.74041748046875,366.4700012207031,366.6600036621094,361.75,362.6099853515625,2978000,1,0.0,0.0,1.0,0.0
@sakuragi_MA 🤔,1,360.1965637207031,363.8999938964844,369.1199951171875,363.3800048828125,366.79998779296875,2198700,1,0.0,0.0,1.0,0.0
@solenne4evah MA È FUORI DI TESTA,10,360.6526184082031,363.7900085449219,365.1300048828125,361.6099853515625,363.4800109863281,2239600,10,0.0,0.0,1.0,0.0
"@stacce2021 Ma almeno sei Leone! Puoi andare orgoglioso di questa convenzione inventata per soddisfare le menti semplici e non devi fare le corna ogni volta che qualcuno ti fa la fatidica domanda!
Certo che sfiga, peggio di ferragosto c'è solo natale, una prece.",1,358.3526306152344,361.4700012207031,362.0400085449219,355.9700012207031,361.2099914550781,2357600,1,0.0,0.0,1.0,0.0
@syd050600 Yes ma'am the motion of the ocean in my teenage years 🤣🤣🤣🤣🤣🤣,1,357.03411865234375,360.1400146484375,360.92999267578125,357.5799865722656,359.7099914550781,1559100,1,0.4019,0.0,0.816,0.184
@turwie2 @szymon_holownia Co tam marudzisz? Że gnom komosa nie ma immunitetu?,0,360.98968505859375,364.1300048828125,365.19000244140625,361.1600036621094,363.4200134277344,3033800,0,0.0,0.0,1.0,0.0
"@valheim_s @succube124 @faureolivier Avec le recul, tu vois bien que les primaires ne servent à rien, pour les éléphants du PS c'est 'pile je gagne face tu perds'
En cas de victoire c'est 'faites ma campagne car nous sommes victorieux' sinon c'est 'ciao nous on est pour le candidat+ proches des grd média et du CAC40",0,358.6599426269531,361.7799987792969,368.6000061035156,361.0299987792969,366.0799865722656,2268800,0,0.0,0.0,1.0,0.0
@zniv22 C bon la toxicité en mode t ma groupie pas celle des gens vs êtes dans un film,0,366.46209716796875,369.6499938964844,369.75,363.3900146484375,363.82000732421875,2611700,0,0.0,0.0,1.0,0.0
"Były minister rolnictwa w rządzie SLD Wojciech Olejniczak został w środę zatrzymany przez CBA.
https://t.co/2ToqN6ddtj",0,369.21807861328125,372.42999267578125,373.3900146484375,369.1099853515625,370.0,2254600,0,0.0,0.0,1.0,0.0
Devinez qui doit aller au resto demain pour l’anniversaire de son oncle et se tape une insomnie de singe ? Je ne hais pas assez ma naigre vie.,8,369.5452880859375,372.760009765625,374.1000061035156,368.3900146484375,373.3599853515625,2432700,8,0.0,0.0,1.0,0.0
"Esses dias, lendo chat antigo do dito cujo, me deparo com ele falando isso: ""você é má"" 🤭",0,369.10906982421875,372.32000732421875,373.95001220703125,369.9599914550781,373.95001220703125,2087800,0,0.0,0.0,1.0,0.0
First time jud ta ani ma ablihan sa Gaisano yaw,0,369.5849609375,372.79998779296875,374.1499938964844,371.1600036621094,372.989990234375,1795300,0,0.0,0.0,1.0,0.0
